"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","RANGE_TYPE_LABEL_EN","RANGE_TYPE_LABEL_FR","COOKTOP_TYPE_LABEL_EN","COOKTOP_TYPE_LABEL_FR","OVEN_EQUIP_TYPE_LABEL_EN","OVEN_EQUIP_TYPE_LABEL_FR","OVEN_TYPE_LABEL_EN","OVEN_TYPE_LABEL_FR","OVEN_COOK_METH_LABEL_EN","OVEN_COOK_METH_LABEL_FR","USE_OVEN_SPACE_LOWER","USE_OVEN_SPACE_UPPER","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
17965450,"YACS4303MF","Amana",510,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965451,"YWEC310S0F","Whirlpool",498,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965452,"YAES6603SF","Amana",515,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965453,"YWEE510S0F","Whirlpool",518,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965454,"YACR4303MF","Amana",510,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965455,"YACR4503SF","Amana",493,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965456,"YAER6303MF","Amana",505,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965457,"YAER6603SF","Amana",515,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,85,"30","30"
17965458,"YWFE520S0F","Whirlpool",548,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,118,"30","30"
17965459,"YWFE770H0F","Whirlpool",614,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,153,"30","30"
17965460,"YMER6600F","Maytag",549,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,129,"30","30"
17965461,"YMET8800F","Maytag",554,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",99,57,"30","30"
17967520,"CFEF3030XX","Frigidaire",525,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,127,"30","30"
17967521,"CGEF3058XX","Frigidaire",601,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,141,"30","30"
17967522,"CGEF3059XX","Frigidaire",601,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,141,"30","30"
17967523,"970C4355","Kenmore",587,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,104,"30","30"
18441404,"LSE4617ST","LG",350,"Freestanding","Autostable","induction","induction","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,154.2,"30","30"
19248099,"GL-76S-A","Guanglong",530,"Freestanding","Autostable","Modular top","Surface modulaire","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,69.7,"24","24"
