"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
11818134,"CFQE5100***","Frigidaire",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818135,"CFQE5000***","Frigidaire",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818136,"970C8804****","Kenmore",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818137,"970L8855****","Kenmore",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818138,"970L8845****","Kenmore",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818139,"970L88422***","Kenmore",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818140,"CCDE4701***","Crosley",978,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818141,"EWMED7C****","Electrolux",942,1.4,"Standard","Ordinaire","240 V","240 V",226.5,"auto moisture","Automatique de l'humidité"
11818142,"EIMED5C****","Electrolux",942,1.4,"Standard","Ordinaire","240 V","240 V",226.5,"auto moisture","Automatique de l'humidité"
11818143,"EIMED6C****","Electrolux",942,1.4,"Standard","Ordinaire","240 V","240 V",226.5,"auto moisture","Automatique de l'humidité"
11818144,"CFSE5115***","Frigidaire",970,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
12592586,"DV40J300*E*","Samsung",965,1.37,"Standard","Ordinaire","120/240","120/240",203.8,"auto moisture","Automatique de l'humidité"
12592589,"8198####","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
12602060,"TVM63X","Ariston",390.04,1.44,"Compact","Compacte","115 V","115 V",99.94,"Auto temperature","Automatique de température"
12602266,"GTX18E*****","GE",900,1.47,"Standard","Ordinaire","240 V","240 V",170,"Auto temperature","Automatique de température"
12772905,"HLTD500ACW","Haier",942,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
13201694,"DLEX7700*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
13232971,"DHP24412W","Blomberg",208,2.7,"Compact","Compacte","240 V","240 V",116.19,"auto moisture","Automatique de l'humidité"
13232972,"DHP24400W","Blomberg",208,2.7,"Compact","Compacte","240 V","240 V",116.19,"auto moisture","Automatique de l'humidité"
14082113,"DLEX5780*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
14082115,"DLEX7710*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
14082116,"DLE1501*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
14082117,"DLE1501*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
14084544,"DV36J40**E*","Samsung",965,1.37,"Standard","Ordinaire","120/240","120/240",206.7,"auto moisture","Automatique de l'humidité"
14106067,"DLE5270*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
14106068,"DLEX9500*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
14106069,"DLEX9000*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
14106072,"6142####","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
14119177,"GTD86ES*J***","GE",900,1.53,"Standard","Ordinaire","240 V","240 V",221,"Auto temperature","Automatique de température"
14119178,"GTD81ES*J***","GE",900,1.53,"Standard","Ordinaire","240 V","240 V",221,"Auto temperature","Automatique de température"
14419385,"YNED4755E#**","Amana",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
14419459,"DLEX5000*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
14643985,"GTD45EA*****","GE",900,1.5,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
14643986,"GTD42EA*****","GE",900,1.5,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
14643987,"GTD65EB*****","GE",900,1.5,"Standard","Ordinaire","240 V","240 V",207,"Auto temperature","Automatique de température"
14644070,"HLTD600ACW","Haier",983,1.37,"Standard","Ordinaire","240 V","240 V",190,"auto moisture","Automatique de l'humidité"
14647827,"DLEX5010*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
14648619,"CFSE4900***","Frigidaire",970,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
14821649,"DV48J777*E*","Samsung",880,1.37,"Standard","Ordinaire","120/240","120/240",209.6,"auto moisture","Automatique de l'humidité"
14860515,"HPD24412W","Beko",208,2.7,"Compact","Compacte","240 V","240 V",116.19,"auto moisture","Automatique de l'humidité"
14860516,"HPD24400W","Beko",208,2.7,"Compact","Compacte","240 V","240 V",116.19,"auto moisture","Automatique de l'humidité"
14860898,"DE7027P****","Fisher & Paykel",900,1.55,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
14860899,"DE7027J****","Fisher & Paykel",900,1.55,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
14860900,"DE7027G****","Fisher & Paykel",900,1.55,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
14982349,"YWED7500V**","Whirlpool",359,1.34,"Compact","Compacte","240 V","240 V",105,"Auto temperature","Automatique de température"
14982350,"YMED7500Y**","Maytag",364,1.32,"Compact","Compacte","240 V","240 V",105,"Auto temperature","Automatique de température"
14982351,"YWED92HEF**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982352,"YWED75HEF**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982353,"YWED7540F**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982354,"YWED7505F**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982355,"YMED8200F**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982356,"YMED5500F**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982357,"YMED3500F**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982358,"YWED9290F**","Whirlpool",748,1.76,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982359,"YWED7990F**","Whirlpool",748,1.76,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
14982361,"YWED92HEFB**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
15006575,"GFDN160E****","GE",906,1.47,"Standard","Ordinaire","240 V","240 V",212,"auto moisture","Automatique de l'humidité"
15006576,"PDEE4RGS173+","Primus",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
15006577,"PDEE3BGS173+","Primus",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
15006578,"DCVH480E****","GE",428,1.34,"Compact","Compacte","240 V","240 V",113.2,"auto moisture","Automatique de l'humidité"
15006579,"DV52J870*E*","Samsung",880,1.5,"Standard","Ordinaire","120/240","120/240",209.6,"auto moisture","Automatique de l'humidité"
15006581,"DV45K71**E*","Samsung",965,1.37,"Standard","Ordinaire","120/240","120/240",209.6,"auto moisture","Automatique de l'humidité"
15006582,"DV50K86**E*","Samsung",920,1.43,"Standard","Ordinaire","120/240","120/240",209.6,"auto moisture","Automatique de l'humidité"
15006583,"DV45K76**E*","Samsung",920,1.43,"Standard","Ordinaire","120/240","120/240",209.6,"auto moisture","Automatique de l'humidité"
15012769,"T744WCD","Asko",439,1.35,"Compact","Compacte","240 V","240 V",112,"auto moisture","Automatique de l'humidité"
15012770,"T754W","Asko",439,1.35,"Compact","Compacte","240 V","240 V",112,"auto moisture","Automatique de l'humidité"
15012771,"T754WCD","Asko",439,1.35,"Compact","Compacte","240 V","240 V",112,"auto moisture","Automatique de l'humidité"
15012772,"T754T","Asko",439,1.35,"Compact","Compacte","240 V","240 V",112,"auto moisture","Automatique de l'humidité"
15012775,"T884XLW","Asko",825,1.98,"Standard","Ordinaire","240 V","240 V",145,"auto moisture","Automatique de l'humidité"
15799266,"YIED4671E**","Inglis",937,1.41,"Standard","Ordinaire","240 V","240 V",184,"Auto temperature","Automatique de température"
15799267,"YIED4771E**","Inglis",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
