"REC_REF_KEY","BRAND_NAME","MODEL_NUM_1","MOD_J1_AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","AVG_L_PER_CYCLE","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","PAYMENT_MECH_LABEL_EN","PAYMENT_MECH_LABEL_FR","CAPACITY","MAX_WASH_TEMP_AVAIL_LABEL_EN","MAX_WASH_TEMP_AVAIL_LABEL_FR","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L"
16303666,"Electrolux","EFLW417****",68,"Front-loading standard","Ordinaire à chargement frontal",50.862,"Household","Résidentiel","-","-",121.1,"No","Non","Adaptive","Adaptif",92.7,0.42,19937.904
16304914,"Maytag","MVWB955F**",319,"Top-loading standard","Ordinaire à chargement par le haut",86.481,"Household","Résidentiel","-","-",174.71,"No","Non","Adaptive","Adaptif",56.635,0.495,33900.552
16305045,"LG","WM1388H*",101,"Front-loading standard","Ordinaire à chargement frontal",36.521,"Household","Résidentiel","-","-",65.1,"Yes","Oui","Adaptive","Adaptif",58.61,0.561,14316.232
16305046,"LG","WM8100H*A",150,"Front-loading standard","Ordinaire à chargement frontal",62.659,"Household","Résidentiel","-","-",146.4,"Yes","Oui","Adaptive","Adaptif",82.69,0.428,24562.328
16592497,"Kenmore","4148#",120,"Front-loading standard","Ordinaire à chargement frontal",54.45,"Household","Résidentiel","-","-",127.22,"No","Non","Adaptive","Adaptif",80.137,0.428,21344.4
16592498,"Kenmore","4138#",120,"Front-loading standard","Ordinaire à chargement frontal",51.874,"Household","Résidentiel","-","-",121.2,"Yes","Oui","Adaptive","Adaptif",78.154,0.428,20334.608
16593991,"Amana","NTW4516F**",274,"Top-loading standard","Ordinaire à chargement par le haut",115.108,"Household","Résidentiel","-","-",102.5,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,45122.336
16593992,"Roper","RTW4516F**",274,"Top-loading standard","Ordinaire à chargement par le haut",115.108,"Household","Résidentiel","-","-",102.5,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,45122.336
16593993,"Inglis","ITW4871F**",274,"Top-loading standard","Ordinaire à chargement par le haut",115.108,"Household","Résidentiel","-","-",102.5,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,45122.336
16593994,"Kenmore","2235*51*",377,"Top-loading standard","Ordinaire à chargement par le haut",136.096,"Household","Résidentiel","-","-",121.19,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,53349.632
16593995,"Maytag","MVWC565F**",374,"Top-loading standard","Ordinaire à chargement par le haut",136.096,"Household","Résidentiel","-","-",121.19,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,53349.632
16681816,"Kenmore","4107#",150,"Front-loading standard","Ordinaire à chargement frontal",62.659,"Household","Résidentiel","-","-",146.4,"Yes","Oui","Adaptive","Adaptif",82.69,0.428,24562.328
16681817,"LG","WM9500H*A",150,"Front-loading standard","Ordinaire à chargement frontal",69.892,"Household","Résidentiel","-","-",163.3,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,27397.664
16682046,"Kenmore","4196#",130,"Front-loading standard","Ordinaire à chargement frontal",62.659,"Household","Résidentiel","-","-",146.4,"No","Non","Adaptive","Adaptif",82.69,0.428,24562.328
16682047,"Kenmore","4116#",120,"Front-loading standard","Ordinaire à chargement frontal",47.061,"Household","Résidentiel","-","-",121.29,"No","Non","Adaptive","Adaptif",80.703,0.388,18447.912
16682048,"Kenmore","4158#",135,"Front-loading standard","Ordinaire à chargement frontal",54.399,"Household","Résidentiel","-","-",127.1,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21324.408
16682057,"Insignia","NS-TWM09WH7-C",35,"Top-loading compact","Compacte à chargement par le haut",50.573,"Household","Résidentiel","-","-",26.34,"No","Non","Manual","Manuel",35.7,1.92,19824.616
16682058,"Insignia","NS-TWM16WH7-C",128,"Top-loading standard","Ordinaire à chargement par le haut",53.675,"Household","Résidentiel","-","-",47.5,"No","Non","Manual","Manuel",37.1,1.13,21040.6
16682059,"Whirlpool","WFW85HEF**",115,"Front-loading standard","Ordinaire à chargement frontal",54.052,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.428,21188.384
16682060,"Whirlpool","WFW8540F**",115,"Front-loading standard","Ordinaire à chargement frontal",54.052,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.428,21188.384
16682063,"Haier","HLPW028BXW",176,"Top-loading standard","Ordinaire à chargement par le haut",67.2,"Household","Résidentiel","-","-",60,"No","Non","Manual","Manuel",50,1.12,26342.4
16682064,"Haier","HLPW024BXW",42,"Top-loading compact","Compacte à chargement par le haut",48.18,"Household","Résidentiel","-","-",43.8,"No","Non","Manual","Manuel",55,1.1,18886.56
16682065,"LG","WT5275C*",180,"Top-loading standard","Ordinaire à chargement par le haut",63.014,"Household","Résidentiel","-","-",127.3,"No","Non","Adaptive","Adaptif",67.394,0.495,24701.488
16682066,"LG","WT1150C*",180,"Top-loading standard","Ordinaire à chargement par le haut",63.014,"Household","Résidentiel","-","-",127.3,"No","Non","Adaptive","Adaptif",67.394,0.495,24701.488
16682079,"GE","GFW400S*K***",179,"Front-loading standard","Ordinaire à chargement frontal",52.245,"Household","Résidentiel","-","-",116.1,"No","Non","Adaptive","Adaptif",76.72,0.45,20480.04
