"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","EG_WEB_FREEZER_LOC_LABEL_EN","EG_WEB_FREEZER_LOC_LABEL_FR","TOTAL_VOL_LIT","TOTAL_VOL_CUB","SIZE_CATEGORY","EG_WEB_TTD_ICE_LABEL_EN","EG_WEB_TTD_ICE_LABEL_FR","FRESH_VOL_LIT","FRESH_VOL_CUB","FREEZER_VOL_LIT","FREEZER_VOL_CUB"
15799962,"HS3862EF","Gorenje",252,"Refrigerator","Réfrigérateur","Manual","Non automatique","No freezer","Sans congélateur",367.837,12.99,6,"No","Non",367.837,12.99,0,0
15801848,"PNE25JGK****","GE Profile",444,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",699.99,24.7,12,"No","Non",493.846,17.44,206.147,7.28
15801849,"PNE25JMK****","GE Profile",444,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",699.99,24.7,12,"No","Non",493.846,17.44,206.147,7.28
15801850,"PNE25JSK****","GE Profile",444,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",699.99,24.7,12,"No","Non",493.846,17.44,206.147,7.28
15801851,"CNE25SSK**","GE Café",444,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",699.99,24.7,12,"No","Non",493.846,17.44,206.147,7.28
16103039,"AR52T3SB","Avanti",258,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",147,5.2,2,"No","Non",147,5.2,0,0
16103040,"RM52T1BB","Avanti",228,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",147,5.2,2,"No","Non",147,5.2,0,0
16293732,"253.22052*","Kenmore",352,"Refrigerator","Réfrigérateur","Automatic","Automatique","No freezer","Sans congélateur",573,20.22,9,"No","Non",573,20.22,0,0
16294601,"CRT182S*","Crosley",359,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.971,18.08,8,"No","Non",399.27,14.1,112.702,3.98
16294602,"WWTR1611S*","White-Westinghouse",344,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",461.567,16.3,7,"No","Non",358.776,12.67,102.791,3.63
16294603,"CGTR1825S*","Frigidaire",359,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.971,18.08,8,"No","Non",399.27,14.1,112.702,3.98
16294604,"FFTR1820S*","Frigidaire",359,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.971,18.08,8,"No","Non",399.27,14.1,112.702,3.98
16301665,"RF22K9381**","Samsung",530,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",625.801,22.1,10,"Yes","Oui",376.613,13.3,249.188,8.8
16301666,"RF28K9380**","Samsung",585,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",792.87,28,13,"Yes","Oui",467.227,16.5,325.643,11.5
16301667,"RF30KM*DB**","Samsung",539,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",880.37,31.09,15,"Yes","Oui",624.669,22.06,255.701,9.03
16301668,"RF22KR*DB**","Samsung",470,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",634.296,22.4,10,"Yes","Oui",450.237,15.9,184.059,6.5
16301669,"RF28K9580**","Samsung",585,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",790.039,27.9,13,"Yes","Oui",464.396,16.4,325.643,11.5
16301670,"RF22K9581**","Samsung",530,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",622.97,22,10,"Yes","Oui",373.782,13.2,249.188,8.8
16303518,"REFHB170WE","Hamilton Beach",207,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",47,1.7,0,"No","Non",47.3,1.67,0,0
16303519,"REFHB270BE","Hamilton Beach",214,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",76,2.7,1,"No","Non",75.7,2.67,0,0
16303650,"FDBC2250S*","Frigidaire",489,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",620.992,21.93,10,"Yes","Oui",428.436,15.13,192.556,6.8
16303651,"FDBG2250S*","Frigidaire",426,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",633.451,22.37,10,"No","Non",440.896,15.57,192.556,6.8
16303662,"HRF15N3BGF","Haier",486,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",425,15,7,"No","Non",272,9.61,152,5.37
16303663,"HRC3211AC*","Haier",219,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",91,3.2,1,"No","Non",91,3.2,0,0
16303664,"HRC4021AC*","Haier",225,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",113,4,1,"No","Non",107,3.78,7,0.26
16303665,"FFBM45136SS","Avanti",318,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","Bottom","En bas",127.5,4.5,2,"No","Non",85,3,42.5,1.5
16304491,"U-3018RGLINT-00B","U-Line",260,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",96.27,3.4,1,"No","Non",96.27,3.4,0,0
